Datum;MengeKum;Einheit;Preis;Produkt;Umsatz;Bestand_Einheit;Bestand_Preis
09/02/2016;-0.672;Kilo;1.20;Roggen;-0.81;36.278;43.53
09/02/2016;-0.580;Kilo;3.04;Rote Linsen;-1.76;4.344;13.21
09/02/2016;-0.426;Kilo;12.00;Sonnenblütenhonig;-5.11;19.986;239.83
09/02/2016;-0.400;Kilo;3.36;weißer Basmati;-1.34;9.041;30.38
09/02/2016;-1.180;Liter;8.50;Olivenöl;-10.03;20.120;171.02
09/02/2016;-0.322;Kilo;3.15;Arborio Reis;-1.01;9.831;30.97
09/02/2016;-0.366;Kilo;1.93;Goldhirse;-0.71;5.024;9.70
09/02/2016;-3.000;Stück;1.49;Hafer Drink;-4.47;73.000;108.77
09/02/2016;-0.045;Kilo;36.00;Koriander Gemahlen;-1.62;0.931;33.52
09/02/2016;-0.046;Kilo;36.00;Kreuzkümmel Gemahlen;-1.66;0.954;34.34
09/02/2016;-1.000;Stück;1.49;Soja Drink;-1.49;42.000;62.58
09/02/2016;-0.044;Kilo;40.00;Zimt Ganz;-1.76;0.956;38.24
10/02/2016;-1.000;Stück;1.49;Hafer Drink;-1.49;72.000;107.28
12/02/2016;-0.510;Kilo;12.00;Sonnenblütenhonig;-6.12;19.476;233.71
12/02/2016;-0.560;Kilo;4.00;Sesam;-2.24;14.884;59.54
12/02/2016;-0.862;Kilo;3.15;Arborio Reis;-2.72;8.969;28.25
12/02/2016;-0.316;Kilo;2.00;Dinkel;-0.63;12.458;24.92
12/02/2016;-0.386;Kilo;1.93;Goldhirse;-0.74;4.638;8.95
12/02/2016;-0.292;Kilo;2.10;Hafer;-0.61;30.780;64.64
12/02/2016;-0.366;Kilo;1.20;Roggen;-0.44;35.912;43.09
12/02/2016;-6.000;Stück;1.49;Soja Drink;-8.94;36.000;53.64
12/02/2016;0.000;Kilo;15.09;Samba – Schokoaufstrich;0.00;-0.200;-3.01
12/02/2016;-1.066;Kilo;3.40;Braunhirse;-3.62;13.498;45.89
12/02/2016;-1.310;Kilo;3.40;Buchweizen;-4.45;7.955;27.05
12/02/2016;-1.000;Stück;1.63;Dinkel Drink;-1.63;82.000;133.66
12/02/2016;-3.000;Stück;1.49;Hafer Drink;-4.47;69.000;102.81
12/02/2016;-0.078;Kilo;45.00;Pfeffer Schwarz Ganz;-3.51;3.331;149.90
12/02/2016;-0.462;Kilo;3.20;Polenta;-1.48;17.576;56.24
12/02/2016;-1.170;Kilo;2.45;Rohrohrzucker;-2.87;8.365;20.49
